CANT_BARRAS;CANT_FRANJAS;CANT_COLORES;TIENE_ROJO;TIENE_VERDE;TIENE_AZUL;TIENE_AMARILLO;TIENE_BLANCO;TIENE_NEGRO;TIENE_NARANJA;TIENE_CIRCULOS;TIENE_CRUCES;TIENE_DIAGONALES;TIENE_SOL;TIENE_LUNA;TIENE_TRIANGULOS;TIENE_DIBUJO;TIENE_TEXTO;CONTIENTE
0;0;3;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;Europa
0;0;6;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;America
0;0;7;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;Oceania
0;0;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;Europa
3;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Europa
3;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;America
0;3;5;1;0;1;1;1;1;0;1;0;0;1;0;0;1;0;Oceania
0;3;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;Africa
0;5;4;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;Africa
0;3;3;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;Europa
0;3;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;Europa
0;3;4;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;Africa
0;1;3;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;Europa
0;9;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;Europa
0;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;America
0;0;3;1;1;0;1;0;0;0;1;0;0;1;0;1;1;0;America
0;0;7;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;Oceania
3;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;America
3;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;Africa
1;2;4;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;Africa
0;0;5;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;America
2;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;America
0;3;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;America
0;0;6;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;Asia
0;3;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Europa
0;0;3;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;Europa
0;3;4;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;Asia
0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Oceania
0;3;3;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;Asia
0;3;4;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;Asia
3;0;3;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;Europa
0;2;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Asia
3;0;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Europa
3;0;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Africa
0;0;3;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;America
0;0;2;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;Asia
0;3;4;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;Asia
0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;Asia
0;5;4;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;Africa
0;0;4;1;0;1;1;1;0;0;0;0;0;1;0;0;1;0;Oceania
0;3;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;Asia
0;3;3;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;Asia
0;2;4;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;Asia
2;0;4;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;Africa
0;11;3;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Africa
0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Africa
0;2;3;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;Europa
0;3;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Europa
1;2;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Africa
0;3;3;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;Africa
0;14;4;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;Asia
0;0;3;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;Asia
3;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;Africa
2;0;3;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;Europa
0;0;3;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;Oceania
0;0;2;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;Africa
0;4;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;Africa
3;0;4;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;America
0;0;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Oceania
0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Europa
3;0;3;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;Asia
0;0;7;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;America
0;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;Africa
0;5;5;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0;Africa
0;3;3;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;Oceania
0;0;3;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;Asia
0;3;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Europa
0;1;3;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;America
0;0;3;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;Oceania
0;3;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;America
0;3;3;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;Africa
3;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Africa
0;0;4;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;Oceania
0;5;3;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;Asia
0;3;4;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;Asia
0;0;3;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;Europa
0;2;3;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;Asia
1;0;2;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;Asia
0;0;3;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;America
0;0;4;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;Oceania
0;3;6;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;America
3;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;America
0;0;4;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;Oceania
0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Europa
0;0;5;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;Europa
0;5;3;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;America
0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;Asia
3;0;7;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;Europa
3;0;4;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;Africa
0;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Europa
0;3;4;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;Africa
0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;Asia
3;0;3;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;Africa
0;0;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Africa
0;3;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;Africa
0;2;2;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;Asia
0;0;4;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;Oceania
0;0;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Africa
0;3;5;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;Africa
0;0;4;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;Asia
0;3;4;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;Asia
0;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Europa
2;0;4;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;Asia
0;0;7;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;Africa
0;0;5;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;America
0;0;4;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;America
5;0;4;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;America
0;3;4;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;Africa
0;5;4;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;America
0;5;7;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;Africa
0;0;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;Europa
0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Europa
0;3;4;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;Asia
0;0;3;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;Asia
0;0;4;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;Africa
0;5;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Asia
0;5;4;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;Africa
0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Oceania
0;0;3;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;America
0;0;2;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;Africa
0;0;2;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;Asia
0;0;6;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;America
0;0;5;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;Oceania
1;3;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;Asia
0;6;5;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;Africa
0;0;3;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;Europa
0;9;3;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;America
0;0;6;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;America
0;13;3;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;America
0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;Asia
0;0;4;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;Oceania
2;0;4;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;Europa
0;3;7;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;America
0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;Asia
0;0;3;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Oceania
0;3;4;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;Europa
0;0;4;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;Africa
3;0;4;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;Africa
0;7;5;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0;Africa
